datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
02/01/2024 04:45 - 02/01/2024 05:00,952.25,3955.1,2438,0,2775,3200,1828,2075.86,3136.51,1956,0,2708.59,3184,2102
02/01/2024 05:00 - 02/01/2024 05:15,982.15,4180.2,2553,0,2775,3200,1724,1769.54,3110.61,1956,0,2758.96,3184,2176
02/01/2024 05:15 - 02/01/2024 05:30,982.15,4180.2,2553,0,2775,3200,1724,1769.54,3110.61,1956,0,2758.96,3184,2176
02/01/2024 05:30 - 02/01/2024 05:45,982.15,4180.2,2553,0,2775,3200,1724,1769.54,3110.61,1956,0,2758.96,3184,2176
02/01/2024 05:45 - 02/01/2024 06:00,982.15,4180.2,2553,0,2775,3200,1724,1769.54,3110.61,1956,0,2758.96,3184,2176
02/01/2024 06:00 - 02/01/2024 06:15,2051,3789.4,2669,0,3000,3200,1596,2737,3959.43,1956,0,3047.41,3184,1964
02/01/2024 06:15 - 02/01/2024 06:30,2051,3789.4,2669,0,3000,3200,1596,2737,3959.43,1956,0,3047.41,3184,1964
02/01/2024 06:30 - 02/01/2024 06:45,2051,3789.4,2669,0,3000,3200,1596,2737,3959.43,1956,0,3047.41,3184,1964
02/01/2024 06:45 - 02/01/2024 07:00,2051,3789.4,2669,0,3000,3200,1596,2737,3959.43,1956,0,3047.41,3184,1964
02/01/2024 07:00 - 02/01/2024 07:15,1827.5,3546.3,2687,0,3000,3200,2612,2256.11,4051.36,1956,0,3061.72,3184,2176
02/01/2024 07:15 - 02/01/2024 07:30,1827.5,3546.3,2687,0,3000,3200,2612,2256.11,4051.36,1956,0,3061.72,3184,2176
02/01/2024 07:30 - 02/01/2024 07:45,1827.5,3546.3,2687,0,3000,3200,2612,2256.11,4051.36,1956,0,3061.72,3184,2176
02/01/2024 07:45 - 02/01/2024 08:00,1827.5,3546.3,2687,0,3000,3200,2612,2256.11,4051.36,1956,0,3061.72,3184,2176
02/01/2024 08:00 - 02/01/2024 08:15,2372.3500000000004,3881,2855,0,1930.7,3200,2994,2900.51,4122.35,1956,0,2195.15,3184,2180
02/01/2024 08:15 - 02/01/2024 08:30,2372.3500000000004,3881,2855,0,1930.7,3200,2994,2900.51,4122.35,1956,0,2195.15,3184,2180
02/01/2024 08:30 - 02/01/2024 08:45,2372.3500000000004,3881,2855,0,1930.7,3200,2994,2900.51,4122.35,1956,0,2195.15,3184,2180
02/01/2024 08:45 - 02/01/2024 09:00,2372.3500000000004,3881,2855,0,1930.7,3200,2994,2900.51,4122.35,1956,0,2195.15,3184,2180
02/01/2024 09:00 - 02/01/2024 09:15,3869,3892.8,2966,0,1303,3200,3014,3829.58,4163.42,1956,0,1314.09,3184,2180
02/01/2024 09:15 - 02/01/2024 09:30,3869,3892.8,2966,0,1303,3200,3014,3829.58,4163.42,1956,0,1314.09,3184,2180
02/01/2024 09:30 - 02/01/2024 09:45,3869,3892.8,2966,0,1303,3200,3014,3829.58,4163.42,1956,0,1314.09,3184,2180
02/01/2024 09:45 - 02/01/2024 10:00,3869,3892.8,2966,0,1303,3200,3014,3829.58,4163.42,1956,0,1314.09,3184,2180
02/01/2024 10:00 - 02/01/2024 10:15,4184.2,4161.9,2966,0,872.3,3200,3014,4254.28,4228.41,1956,0,787.63,3184,2180
02/01/2024 10:15 - 02/01/2024 10:30,4184.2,4161.9,2966,0,872.3,3200,3014,4254.28,4228.41,1956,0,787.63,3184,2180
02/01/2024 10:30 - 02/01/2024 10:45,4184.2,4161.9,2966,0,872.3,3200,3014,4254.28,4228.41,1956,0,787.63,3184,2180
02/01/2024 10:45 - 02/01/2024 11:00,4184.2,4161.9,2966,0,872.3,3200,3014,4254.28,4228.41,1956,0,787.63,3184,2180
02/01/2024 11:00 - 02/01/2024 11:15,4448.6,4067.3,3022,0,160.6,3200,3014,4616.57,4320.69,2484.25,0,335.61,2726.5,3053.25
02/01/2024 11:15 - 02/01/2024 11:30,4448.6,4067.3,3022,0,160.6,3200,3014,4616.57,4320.69,2484.25,0,335.61,2726.5,3053.25
